ID|タイムスタンプ|英文|日本語訳|チャンク1|チャンク2|チャンク3|チャンク4|チャンク5
1|00:00:02.391|The U.S. says its military struck Islamic State militants in northwestern Nigeria.|米国は、軍がナイジェリア北西部でイスラム国の戦闘員を攻撃したと発表しました。|The U.S. says^S+V^core^米国は述べています|its military struck^S+V (Noun Clause)^core^軍が攻撃したと|Islamic State militants^Object^core^イスラム国の戦闘員を|in northwestern Nigeria^Prep Phrase^modifier^ナイジェリア北西部で|
2|00:00:07.355|The president says the strikes on Christmas Day were aimed at stopping the killing of Christians.|大統領は、クリスマス当日に行われたこの攻撃は、キリスト教徒の殺害を止めることが目的だったと述べています。|The president says^S+V^core^大統領は述べています|the strikes on Christmas Day^Subject^core^クリスマス当日の攻撃は|were aimed at^Verb (Passive)^core^〜を目的としていました|stopping the killing^Gerund Phrase^modifier^殺害を止めることを|of Christians^Prep Phrase^modifier^キリスト教徒の
3|00:00:11.817|And this is just the beginning. Why is the president focused on Nigeria?|そして、これは始まりに過ぎません。なぜ大統領はナイジェリアを注視しているのでしょうか？|And^Conjunction^connector^そして|this is just the beginning^S+V+C^core^これは単なる始まりに過ぎません|Why is the president focused^Interrogative^core^なぜ大統領は焦点を合わせているのか|on Nigeria^Prep Phrase^modifier^ナイジェリアに|
4|00:00:16.496|I'm Leila Faldin and this is Up First from NPR News.|レイラ・ファルディンがお送りする、NPRニュースの「Up First」です。|I'm Leila Faldin^S+V+C^core^私はレイラ・ファルディンです|and^Conjunction^connector^そして|this is Up First^S+V+C^core^これはUp Firstです|from NPR News^Prep Phrase^modifier^NPRニュースの|
5|00:00:22.527|When Speaker Mike Johnson convened Congress in January, he made a bold declaration.|1月にマイク・ジョンソン下院議長が議会を招集した際、彼は大胆な宣言をしました。|When^Conjunction^connector^〜した時|Speaker Mike Johnson convened Congress^S+V+O^core^マイク・ジョンソン議長が議会を招集した|in January^Prep Phrase^modifier^1月に|he made a bold declaration^S+V+O^core^彼は大胆な宣言をしました|
6|00:00:28.064|Working together, we have the potential to be one of the most consequential Congresses in history.|協力し合うことで、我々は歴史上最も重要な議会の一つになる可能性を秘めています。|Working together^Participle Phrase^modifier^協力し合うことで|we have the potential^S+V+O^core^我々には可能性があります|to be one of the most consequential Congresses^Infinitive^modifier^最も影響力のある議会の一つになるための|in the history of this great nation^Prep Phrase^modifier^この偉大な国家の歴史において|
7|00:00:35.131|Twelve months later, has Congress lived up to that potential?|12ヶ月が経過し、議会はその期待に応えたのでしょうか？|Twelve months later^Adverb Phrase^modifier^12ヶ月後|has Congress lived up to^Present Perfect (Q)^core^議会は〜に応えてきたでしょうか|that potential^Object^core^その可能性に|
8|00:00:39.033|And holiday spending broke records this year in the U.S. It honestly blew my mind.|今年の米国の休日支出は記録を更新しました。正直、驚きを隠せません。|And^Conjunction^connector^そして|holiday spending broke records^S+V+O^core^休日の支出が記録を破りました|this year^Adverb^modifier^今年|in the U.S.^Prep Phrase^modifier^米国で|It honestly blew my mind^S+V+O^core^それは正直驚きでした
9|00:00:44.557|Sales just exceeded all my expectations. What's driving spending?|売上は私の予想をすべて上回りました。何が支出を突き動かしているのでしょうか？|Sales just exceeded^S+V^core^売上はちょうど上回りました|all my expectations^Object^core^私のすべての期待を|What's driving spending^Interrogative^core^何が支出を動かしているのか|
10|00:01:01.515|Support for NPR and the following message come from GoodRx.|NPRのサポートと次のメッセージは、GoodRxがお送りします。|Support for NPR^Subject^core^NPRへのサポート|and the following message^Subject^core^と次のメッセージは|come from GoodRx^Verb^core^GoodRxから届いています|
11|00:01:05.340|The holidays are here, but so is cold and flu season. Find relief for less with GoodRx.|休暇がやってきましたが、風邪やインフルエンザの季節も同様です。GoodRxで安価に緩和策を見つけましょう。|The holidays are here^S+V+C^core^休暇が来ました|but^Conjunction^connector^しかし|so is cold and flu season^S+V+C (Inversion)^core^風邪とインフルエンザの季節もまたそうです|Find relief for less^Verb+Object^core^より安く救済策を見つけなさい|with GoodRx^Prep Phrase^modifier^GoodRxを使って
12|00:01:14.670|Easily compare prescription prices and find discounts up to 80%.|処方箋の価格を簡単に比較し、最大80%の割引を見つけることができます。|Easily compare^Verb^core^簡単に比較しなさい|prescription prices^Object^core^処方箋の価格を|and^Conjunction^connector^そして|find discounts^Verb+Object^core^割引を見つけなさい|up to 80%^Prep Phrase^modifier^最大80%までの
13|00:01:33.372|This message comes from the Natural Resources Defense Council (NRDC).|このメッセージは、天然資源保護協議会（NRDC）がお送りします。|This message^Subject^core^このメッセージは|comes from^Verb^core^〜から来ています|the Natural Resources Defense Council^Object of Prep^modifier^天然資源保護協議会|
14|00:01:44.079|Backed by 3 million supporters, NRDC is taking on protecting the planet in the courts.|300万人の支持者に支えられ、NRDCは法廷で地球を守る活動に取り組んでいます。|Backed by 3 million supporters^Participle Phrase^modifier^300万人の支持者に支えられ|NRDC is taking on^S+V^core^NRDCは取り組んでいます|protecting the planet^Gerund Phrase^modifier^地球を守ることに|in the courts^Prep Phrase^modifier^法廷で|
15|00:02:04.873|Take control of holiday spending with Monarch, the personal finance tool.|パーソナルファイナンスツールのMonarchで、休日の支出を管理しましょう。|Take control of^Verb^core^〜を管理しなさい|holiday spending^Object^core^休日の支出を|with Monarch^Prep Phrase^modifier^Monarchを使って|the personal finance tool^Apposition^modifier^個人財務ツールである|
16|00:02:18.663|Understand where your money has been and where it's heading in 2026 and beyond.|自分のお金がどこに使われ、2026年以降どこに向かっているのかを把握しましょう。|Understand^Verb^core^理解しなさい|where your money has been^Noun Clause^modifier^お金がどこにあったのかを|and^Conjunction^connector^そして|where it's heading^Noun Clause^modifier^どこに向かっているのかを|in 2026 and beyond^Prep Phrase^modifier^2026年とその先に
17|00:02:34.039|On Christmas Day, the president announced the U.S. military struck ISIS militants in Nigeria.|クリスマス当日、大統領は米軍がナイジェリアのISIS戦闘員を攻撃したと発表しました。|On Christmas Day^Prep Phrase^modifier^クリスマスに|the president announced^S+V^core^大統領は発表しました|the U.S. military struck^S+V (Noun Clause)^core^米軍が攻撃したと|ISIS militants^Object^core^ISISの戦闘員を|in Nigeria^Prep Phrase^modifier^ナイジェリアで
18|00:02:39.945|The attacks come a month after President Trump threatened to go into Nigeria "guns a-blazing."|この攻撃は、トランプ大統領がSNSでナイジェリアに「銃を乱射して」乗り込むと脅告した1ヶ月後に行われました。|The attacks come^S+V^core^攻撃は行われました|a month after^Prep Phrase^modifier^〜の1ヶ月後に|President Trump threatened^S+V^core^トランプ大統領が脅告した|to go into Nigeria^Infinitive^modifier^ナイジェリアに入ると|"guns a-blazing"^Adverbial^modifier^銃を乱射しながら
19|00:02:54.752|Nigerian authorities say allegations of Christian genocide are unfounded.|ナイジェリア当局は、キリスト教徒の虐殺という主張は根拠がないと述べています。|Nigerian authorities say^S+V^core^ナイジェリア当局は述べています|allegations of Christian genocide^Subject^core^キリスト教徒虐殺の申し立ては|are unfounded^Verb+Complement^core^根拠がありません|
20|00:03:18.912|In a post on Truth Social, President Trump said he ordered a deadly strike against ISIS.|Truth Socialへの投稿で、トランプ大統領はISISに対して致命的な打撃を命じたと述べました。|In a post on Truth Social^Prep Phrase^modifier^Truth Socialでの投稿で|President Trump said^S+V^core^トランプ大統領は述べました|he ordered^S+V (Noun Clause)^core^彼が命じたと|a deadly strike^Object^core^致命的な攻撃を|against ISIS^Prep Phrase^modifier^ISISに対して
21|00:03:39.718|Initially the strikes were requested by the Nigerian government, then they amended that statement.|当初、攻撃はナイジェリア政府からの要請によるものでしたが、その後彼らはその声明を修正しました。|Initially^Adverb^modifier^当初は|the strikes were requested^S+V (Passive)^core^攻撃は要請されました|by the Nigerian government^Prep Phrase^modifier^ナイジェリア政府によって|then^Adverb^modifier^その後|they amended that statement^S+V+O^core^彼らはその声明を修正しました
22|00:04:14.641|The strikes targeted ISIS militants in northwest Nigeria along the border with Niger.|攻撃は、ニジェールとの国境沿いにあるナイジェリア北西部のISIS戦闘員を標的にしました。|The strikes targeted^S+V+O^core^攻撃は〜を標的にしました|ISIS militants^Object^core^ISISの戦闘員を|in northwest Nigeria^Prep Phrase^modifier^ナイジェリア北西部で|along the border^Prep Phrase^modifier^国境に沿って|with Niger^Prep Phrase^modifier^ニジェールとの
23|00:04:45.903|President Trump says this ISIS group has targeted Christians, but experts disagree.|トランプ大統領はこのISISグループがキリスト教徒を標的にしたと言っていますが、専門家は否定しています。|President Trump says^S+V^core^トランプ大統領は述べています|this ISIS group has targeted^S+V (Noun Clause)^core^このISISグループが標的にしたと|Christians^Object^core^キリスト教徒を|but^Conjunction^connector^しかし|experts disagree^S+V^core^専門家は同意しません
24|00:05:48.026|There are critics in Nigeria who are concerned about whether this is a new military front.|ナイジェリアには、これが新たな軍事前線になるのではないかと懸念する批判家がいます。|There are critics^There+V+S^core^批判家がいます|in Nigeria^Prep Phrase^modifier^ナイジェリアに|who are concerned about^Relative Clause^connector^〜について懸念している|whether this is^Conjunction^connector^これが〜かどうか|a new military front^Complement^core^新しい軍事前線
25|00:06:13.307|Congress started 2025 with a big legislative agenda. Twelve months later, it has ceded much of its power.|議会は大きな立法課題を抱えて2025年をスタートしましたが、12ヶ月後、その権限の多くを譲り渡しました。|Congress started 2025^S+V+O^core^議会は2025年を開始した|with a big legislative agenda^Prep Phrase^modifier^大きな立法課題と共に|Twelve months later^Adverb Phrase^modifier^12ヶ月後|it has ceded^S+V^core^それは譲り渡しました|much of its power^Object^core^その権限の多くを
26|00:06:58.578|Unless you look at their marquee tax and spending plan, no other major bills passed.|彼らの目玉である税制・支出計画を除けば、他に主要な法案は成立しませんでした。|Unless^Conjunction^connector^〜でない限り|you look at^S+V^core^あなたが見る|their marquee tax and spending plan^Object^core^彼らの目玉である税制・支出計画を|no other major bills passed^S+V^core^他の主要法案は成立しませんでした|
27|00:07:39.649|The number of laws enacted this year are at an all-time low.|今年制定された法律の数は過去最低を記録しています。|The number of laws^Subject^core^法律の数は|enacted this year^Participle Phrase^modifier^今年制定された|are at an all-time low^Verb+Complement^core^過去最低の状態です|
28|00:08:16.128|Speaker Mike Johnson is facing a record number of House retirements, including nearly 30 Republicans.|マイク・ジョンソン下院議長は、30名近い共和党員を含む、過去最多の下院議員の引退に直面しています。|Speaker Mike Johnson is facing^S+V+O^core^ジョンソン議長は直面しています|a record number^Object^core^記録的な数に|of House retirements^Prep Phrase^modifier^下院議員の引退の|including nearly 30 Republicans^Prep Phrase^modifier^30名近い共和党員を含む|
29|00:08:43.703|Ultimately, the Senate approved a majority of Trump's nominees for the administration and federal courts.|最終的に、上院は政権および連邦裁判所に対するトランプ氏の指名候補者の大部分を承認しました。|Ultimately^Adverb^modifier^最終的に|the Senate approved^S+V+O^core^上院は承認しました|a majority of Trump's nominees^Object^core^トランプ氏の指名候補者の大部分を|for the administration^Prep Phrase^modifier^政権のための|and federal courts^Prep Phrase^modifier^および連邦裁判所の
30|00:09:24.986|Republicans face the prospect of another government shutdown threat in January.|共和党は1月に再び政府機関閉鎖の脅威に直面する見通しです。|Republicans face^S+V+O^core^共和党員は直面しています|the prospect^Object^core^見通しに|of another government shutdown threat^Prep Phrase^modifier^別の政府閉鎖の脅威の|in January^Prep Phrase^modifier^1月に|
31|00:10:01.648|Shoppers have been expected to drop a record amount of money this holiday season.|今ホリデーシーズン、買い物客は記録的な金額を費やすと予想されています。|Shoppers have been expected^S+V (Passive)^core^買い物客は予想されています|to drop^Infinitive^modifier^費やすことを|a record amount of money^Object^core^記録的な金額を|this holiday season^Adverb^modifier^このホリデーシーズンに|
32|00:10:41.080|Adobe Analytics saw people spending over $10 million every minute on Cyber Monday.|アドビ・アナリティクスによると、サイバーマンデーの夕方には1分間に1,000万ドル以上が費やされました。|Adobe Analytics saw^S+V^core^アドビ・アナリティクスは確認しました|people spending^Object+Ving^core^人々が費やしているのを|over $10 million^Object^core^1,000万ドル以上を|every minute^Adverb^modifier^1分ごとに|on Cyber Monday^Prep Phrase^modifier^サイバーマンデーに
33|00:12:16.732|More and more, it's the wealthy that are doing much of the spending.|ますます、支出の多くを担っているのは富裕層になっています。|More and more^Adverb^modifier^ますます|it's the wealthy^It is ... that^core^それは富裕層です|that are doing^Relative Clause^connector^〜を行っているのは|much of the spending^Object^core^支出の多くを|
34|00:12:46.064|There are a lot of cars for sale under $40,000 that are just sitting.|4万ドル未満で販売されている多くの車が、売れずに残ったままになっています。|There are a lot of cars^There+V+S^core^多くの車があります|for sale^Prep Phrase^modifier^販売用の|under $40,000^Prep Phrase^modifier^4万ドル未満の|that are just sitting^Relative Clause^connector^ただ座っている（置かれたままの）|
35|00:13:07.890|Everyone else, they didn't downgrade to a compact car. They left the new market entirely.|それ以外の人は、コンパクトカーに乗り換えたわけではありません。新車市場から完全に離脱したのです。|Everyone else^Subject^core^他のすべての人々は|they didn't downgrade^S+V^core^彼らはダウングレードしませんでした|to a compact car^Prep Phrase^modifier^コンパクトカーに|They left^S+V^core^彼らは去りました|the new market entirely^Object+Adverb^core^新車市場を完全に
36|00:13:43.043|Many of us like to look back on how far we've come and ask, what would I like to change?|私たちの多くは、自分がどこまで来たかを振り返り、何を変えたいかを考えるのが好きです。|Many of us^Subject^core^私たちの多くは|like to look back^Verb+Infinitive^core^振り返ることを好みます|on how far we've come^Prep Phrase^modifier^私たちがどこまで来たかについて|and ask^Infinitive^modifier^そして尋ねることを|what would I like to change^Noun Clause^modifier^何を変えたいか
37|00:14:46.642|BetterHelp message: Incorporating therapy into your life can help you take time for yourself.|BetterHelpからのメッセージ：セラピーを生活に取り入れることは、自分のための時間を作るのに役立ちます。|Incorporating therapy^Gerund Phrase (Subject)^core^セラピーを取り入れることは|into your life^Prep Phrase^modifier^あなたの生活の中に|can help you^Verb+Object^core^あなたを助けることができます|take time^Infinitive^modifier^時間を取ることを|for yourself^Prep Phrase^modifier^あなた自身のために
38|00:15:29.106|When it comes to my athletic performance, sleep is everything.|私のアスリートとしてのパフォーマンスにおいて、睡眠がすべてです。|When it comes to^Idiom^modifier^〜のこととなると|my athletic performance^Object of Prep^modifier^私のアスリートとしての能力|sleep is everything^S+V+C^core^睡眠がすべてです|
39|00:15:59.246|Shopify is the commerce platform revolutionizing millions of businesses worldwide.|Shopifyは、世界中の何百万ものビジネスに革命を起こしているコマースプラットフォームです。|Shopify is^S+V^core^Shopifyは〜です|the commerce platform^Complement^core^コマースプラットフォーム|revolutionizing^Participle^modifier^革命を起こしている|millions of businesses^Object^core^何百万ものビジネスに|worldwide^Adverb^modifier^世界中で
40|00:16:12.997|Go to shopify.com slash NPR to take your business to the next level today.|今日、あなたのビジネスを次のレベルに引き上げるために、shopify.com/NPRにアクセスしてください。|Go to shopify.com^Verb+Prep Phrase^core^shopify.comへ行きなさい|slash NPR^Phrase^modifier^スラッシュNPR|to take your business^Infinitive^modifier^あなたのビジネスを連れて行くために|to the next level^Prep Phrase^modifier^次のレベルへ|today^Adverb^modifier^今日
