ID|タイムスタンプ|英文|日本語訳|チャンク1|チャンク2|チャンク3|チャンク4|チャンク5|チャンク6
1|00:00:02.491|Some House Republicans want to extend Obamacare health insurance subsidies that are set to expire this month.|下院共和党の一部は、今月期限切れとなるオバマケアの医療保険補助金を延長したいと考えています。|Some House Republicans want to extend^S+V+Infinitive^core^下院共和党の一部は延長することを望んでいます|Obamacare health insurance subsidies^Object^core^オバマケアの医療保険補助金を|that are set to expire^Relative Clause^connector^期限切れになる予定の|this month^Time Adverb^modifier^今月||
2|00:00:08.380|They say they want to save their party from itself as millions of voters face price increases.|何百万人もの有権者が価格上昇に直面する中、彼らは党を自滅から救いたいと述べています。|They say^S+V^core^彼らは言います|they want to save their party^S+V+O^core^自分たちの党を救いたいと|from itself^Prep Phrase^modifier^それ自身（自滅）から|as^Conjunction^connector^～する中で|millions of voters face price increases^S+V+O^core^何百万もの有権者が価格上昇に直面している||
3|00:00:12.880|I'm Steve Inskeep with Michelle Martin, and this is Up First from NPR News.|スティーブ・インスキープとミシェル・マーティンがお伝えする、NPRニュースの「Up First」です。|I'm Steve Inskeep^S+V+C^core^私はスティーブ・インスキープです|with Michelle Martin^Prep Phrase^modifier^ミシェル・マーティンと共に|and^Conjunction^connector^そして|this is Up First^S+V+C^core^これは「Up First」です|from NPR News^Prep Phrase^modifier^NPRニュースからの||
4|00:00:21.152|The Federal Reserve's decision to cut interest rates may help the job market but hurt efforts to wrangle inflation.|金利を引き下げるというFRBの決定は、雇用市場を助けるかもしれませんが、インフレ抑制の取り組みを損なう可能性があります。|The Federal Reserve's decision^Subject^core^連邦準備制度理事会の決定は|to cut interest rates^Infinitive^modifier^金利を引き下げるという|may help the job market^Aux+V+O^core^雇用市場を助けるかもしれません|but hurt efforts^Conjunction+V+O^core^しかし取り組みを損なう（可能性があります）|to wrangle inflation^Infinitive^modifier^インフレを抑制するための||
5|00:00:26.812|Will the central bank continue slashing rates into 2026?|中央銀行は2026年にかけて金利の引き下げを続けるのでしょうか？|Will the central bank continue^Aux+S+V^core^中央銀行は続けるでしょうか|slashing rates^Gerund Phrase^core^金利を大幅に下げることを|into 2026^Prep Phrase^modifier^2026年にかけて||
6|00:00:30.153|We think we're well positioned to wait and see how the economy performs.|私たちは、経済がどう動くか様子を見るのに良い位置にいると考えています。|We think^S+V^core^私たちは考えています|we're well positioned^S+V+C^core^私たちは良い位置にいると|to wait and see^Infinitive^modifier^様子を見るために|how the economy performs^Noun Clause^core^経済がどのように機能するかを||
7|00:00:34.240|Also, the Trump administration says it seized an oil tanker off the coast of Venezuela.|また、トランプ政権はベネズエラ沖で石油タンカーを拿捕したと発表しました。|Also^Adverb^connector^また|the Trump administration says^S+V^core^トランプ政権は述べています|it seized an oil tanker^S+V+O^core^石油タンカーを拿捕したと|off the coast of Venezuela^Prep Phrase^modifier^ベネズエラ沖で||
8|00:00:40.088|This happens as the admiral overseeing the Venezuelan boat strikes prepares to step down.|これは、ベネズエラのボート攻撃を監督していた提督が辞任の準備を進める中で起きています。|This happens^S+V^core^これは起きています|as^Conjunction^connector^～する時に|the admiral overseeing the Venezuelan boat strikes^Subject+Participle^core^ベネズエラのボート攻撃を監督する提督が|prepares to step down^V+Infinitive^core^辞任する準備をしている（中で）||
9|00:00:44.845|Stay with us for the news you need to start your day.|一日を始めるのに必要なニュースをお届けしますので、そのままでお待ちください。|Stay with us^Imperative^core^私たちと一緒にいてください（チャンネルはそのままで）|for the news^Prep Phrase^modifier^ニュースのために|you need^S+V^modifier^あなたが必要とする|to start your day^Infinitive^modifier^一日を始めるために||
10|00:00:47.237|This message comes from Superhuman, the AI productivity suite that gives you superpowers everywhere you work.|このメッセージは、働く場所を選ばずスーパーパワーを与えてくれるAI生産性スイート、Superhumanから送られました。|This message comes^S+V^core^このメッセージは来ています|from Superhuman^Prep Phrase^modifier^Superhumanから|the AI productivity suite^Appositive^core^（それは）AI生産性スイートです|that gives you superpowers^Relative Clause^connector^あなたにスーパーパワーを与える|everywhere you work^Adverb Clause^modifier^あなたが働くあらゆる場所で||
