ID|タイムスタンプ|英文|日本語訳|チャンク1|チャンク2|チャンク3|チャンク4|チャンク5
1|00:00:07.753|The sun is out and it's warming John Valetto's vineyard in Sonoma County, California.|太陽が出ており、カリフォルニア州ソノマ郡にあるジョン・ヴァレットのブドウ畑を暖めています。|The sun is out^S+V+C^core^太陽が出ています|and^Conjunction^connector^そして|it's warming^S+V^core^それは暖めています|John Valetto's vineyard^Object^core^ジョン・ヴァレットのブドウ畑を|in Sonoma County, California^Prep Phrase^modifier^カリフォルニア州ソノマ郡にある
2|00:00:12.737|Rows and rows of Pinot grapes glint on the vine.|何列にも連なるピノ種のブドウが、ツルで輝いています。|Rows and rows of Pinot grapes^Subject^core^何列にも連なるピノ種のブドウが|glint^Verb^core^輝いています|on the vine^Prep Phrase^modifier^ツルで（木の上で）||
3|00:00:16.003|They're destined to be pressed, bottled, and uncorked at holiday parties.|それらは圧搾され、瓶詰めされ、休日のパーティーで開けられる運命にあります。|They're destined^S+V(Passive)^core^それらは運命づけられています|to be pressed, bottled, and uncorked^Infinitive^modifier^圧搾され、瓶詰めされ、開栓されるように|at holiday parties^Prep Phrase^modifier^休日のパーティーで||
4|00:00:20.128|Or, sipped after a toast.|あるいは、乾杯の後に少しずつ飲まれることでしょう。|Or^Conjunction^connector^あるいは|sipped^Participle^modifier^（ワインは）少しずつ飲まれます|after a toast^Prep Phrase^modifier^乾杯の後に||
5|00:00:25.658|What is your favorite wine?|あなたの好きなワインは何ですか？|What is^Wh+V^core^何ですか？|your favorite wine^Subject^core^あなたの好きなワインは|||
6|00:00:27.628|Well, you know, I have three favorites, so...|ええと、そうですね、私には3つのお気に入りがあるので...|Well, you know^Interjection^modifier^ええと、そうですね|I have^S+V^core^私にはあります|three favorites^Object^core^3つのお気に入りが|so...^Conjunction^connector^なので...|
7|00:00:30.420|If it's a warm day, it's our Rosea Pinot Noirs.|暖かい日なら、私たちのロゼ・ピノ・ノワールです。|If it's a warm day^If Clause^modifier^もし暖かい日なら|it's^S+V^core^それは（これです）|our Rosea Pinot Noirs^Complement^core^私たちのロゼ・ピノ・ノワール|
8|00:00:34.362|On a nice afternoon, if we're having a nice steak or something, a great bottle of our 18-barrel Pinot.|天気の良い午後、素敵なステーキなどを食べているなら、18バレル・ピノの素晴らしいボトルです。|On a nice afternoon^Prep Phrase^modifier^天気の良い午後に|if we're having a nice steak or something^If Clause^modifier^もし素敵なステーキか何かを食べているなら|a great bottle of our 18-barrel Pinot^Noun Phrase^core^（選ぶのは）18バレル・ピノの素晴らしいボトルです|
9|00:00:43.581|And then if it's just a gentle afternoon, it would be our Teresa Chardonnay.|そして、もしそれが穏やかな午後なら、テレサ・シャルドネになるでしょう。|And then^Conjunction^connector^そしてそれから|if it's just a gentle afternoon^If Clause^modifier^もしそれがただ穏やかな午後なら|it would be^S+V^core^それは〜になるでしょう|our Teresa Chardonnay^Complement^core^私たちのテレサ・シャルドネ|
10|00:00:47.691|You're making me thirsty, John.|喉が渇いてきましたよ、ジョン（飲みたくなってきました）。|You're making me thirsty^S+V+O+C^core^あなたは私を喉が渇いた状態にさせています|John^Vocative^modifier^ジョン|||
11|00:00:49.143|It's making me want to grab a glass in the middle of my workday.|仕事中なのにグラスを手に取りたくなってしまいます。|It's making me want^S+V+O+C^core^それは私に〜したくさせます|to grab a glass^Infinitive^modifier^グラスを手に取ることを|in the middle of my workday^Prep Phrase^modifier^私の仕事の真っ最中に||
12|00:00:52.783|Probably not a great idea.|おそらく良い考えではないでしょうけど。|Probably^Adverb^modifier^おそらく|not a great idea^Noun Phrase (Ellipsis)^core^（それは）良い考えではありません|||
