ID|タイムスタンプ|英文|日本語訳|チャンク1|チャンク2|チャンク3|チャンク4|チャンク5|チャンク6
1|00:00:05.735|Back in October, at a beautiful waterfront home in Florida, three men quietly came together to try and end a war.|10月、フロリダの美しい海辺の邸宅に、戦争を終わらせようと3人の男たちが静かに集まりました。|Back in October^Adverb Phrase^modifier^10月に|at a beautiful waterfront home in Florida^Prep Phrase^modifier^フロリダの美しい海辺の邸宅で|three men quietly came together^S+V^core^3人の男たちが静かに集まりました|to try and end a war^Infinitive^modifier^戦争を終わらせようとして||
2|00:00:13.906|It's three businessmen in a Miami Beach condo, hunched over a laptop, redrawing European borders, effectively trying to solve a geopolitical problem.|マイアミビーチのコンドミニアムで3人のビジネスマンがノートPCにかじりつき、事実上地政学的な問題を解決しようと、ヨーロッパの国境線を引き直しているのです。|It's three businessmen^S+V+C^core^それは3人のビジネスマンです|in a Miami Beach condo^Prep Phrase^modifier^マイアミビーチのコンドミニアムにいる|hunched over a laptop^Participle Phrase^modifier^ノートPCにかじりつき（身を乗り出し）|redrawing European borders^Participle Phrase^modifier^ヨーロッパの国境線を引き直しながら|effectively trying to solve^Participle Phrase^modifier^事実上解決しようとしている|a geopolitical problem^Object^core^地政学的な問題を
3|00:00:25.437|The key protagonists were Kirill Dmitriev, the head of Russia's sovereign wealth fund, as well as Jared Kushner and Steve Witkoff.|主要な登場人物は、ロシアの国富ファンドのトップであるキリル・ドミトリエフ、そしてジャレッド・クシュナーとスティーブ・ウィトコフでした。|The key protagonists were Kirill Dmitriev^S+V+C^core^主要な主役はキリル・ドミトリエフでした|the head of Russia's sovereign wealth fund^Apposition^modifier^ロシアの国富ファンドの責任者である|as well as^Conjunction^connector^～と同様に（そして）|Jared Kushner and Steve Witkoff^Noun Phrase^core^ジャレッド・クシュナーとスティーブ・ウィトコフ||
4|00:00:37.018|Steve Witkoff is a real estate tycoon that the president has known since the 80s, who is now effectively Washington's emissary to Moscow.|スティーブ・ウィトコフは、大統領が80年代から知っている不動産王であり、現在は事実上のワシントンからモスクワへの特使です。|Steve Witkoff is a real estate tycoon^S+V+C^core^スティーブ・ウィトコフは不動産王です|that the president has known^Rel Clause^connector^大統領が知っている|since the 80s^Prep Phrase^modifier^80年代から|who is now effectively^Rel Clause^connector^現在は事実上の～である|Washington's emissary to Moscow^Complement^core^ワシントンのモスクワへの特使||
5|00:00:47.369|These men were trying to draft a plan to end the long and deadly conflict between Russia and Ukraine.|彼らは、ロシアとウクライナの間の長く致命的な紛争を終わらせるための計画を起草しようとしていました。|These men were trying to draft a plan^S+V+O^core^この男たちは計画を起草しようとしていました|to end the long and deadly conflict^Infinitive^modifier^長く致命的な紛争を終わらせるための|between Russia and Ukraine^Prep Phrase^modifier^ロシアとウクライナの間の|||
6|00:00:53.191|A plan that would become the basis of lengthy peace talks that took place this week.|その計画は、今週行われた長きにわたる和平会談の基礎となるものでした。|A plan^Noun Phrase^core^（それは）ある計画でした|that would become the basis^Rel Clause^connector^基礎となるであろう|of lengthy peace talks^Prep Phrase^modifier^長きにわたる和平会談の|that took place this week^Rel Clause^connector^今週行われた|||
7|00:00:58.284|But our colleague Drew Hinshaw says when these businessmen met in Miami, peace wasn't the only thing they were negotiating.|しかし同僚のドリュー・ヒンショウによれば、このビジネスマンたちがマイアミで会ったとき、交渉していたのは和平だけではありませんでした。|But^Conjunction^connector^しかし|our colleague Drew Hinshaw says^S+V^core^同僚のドリュー・ヒンショウは言います|when these businessmen met in Miami^Adv Clause^modifier^このビジネスマンたちがマイアミで会ったとき|peace wasn't the only thing^S+V+C^core^平和だけではありませんでした|they were negotiating^Rel Clause^connector^彼らが交渉していたのは|
8|00:01:05.322|That's according to people familiar with the talks.|それは協議に詳しい関係者による話です。|That's^S+V^core^それは～です|according to people^Prep Phrase^modifier^人々によると|familiar with the talks^Adjective Phrase^modifier^その協議に詳しい||||
9|00:01:08.103|They're not only drafting a peace plan that is a way to end the war in Ukraine on terms Russia can accept.|彼らは、ロシアが受け入れられる条件でウクライナ戦争を終わらせるための和平案を作成しているだけではありません。|They're not only drafting^S+V^core^彼らは起草しているだけではありません|a peace plan^Object^core^和平案を|that is a way to end the war^Rel Clause^connector^戦争を終わらせる方法である|in Ukraine^Prep Phrase^modifier^ウクライナでの|on terms Russia can accept^Prep Phrase^modifier^ロシアが受け入れられる条件で|
10|00:01:14.325|They're also looking at how do we bring in Russia's $2 trillion economy in from the cold, lowering sanctions as part of a peace process.|彼らはまた、和平プロセスの一環として制裁を緩和し、ロシアの2兆ドル規模の経済をいかにして「寒い場所（孤立状態）」から呼び戻すかも検討しています。|They're also looking at^S+V^core^彼らは～にも目を向けています|how do we bring in^Noun Clause^core^いかにして呼び戻すか|Russia's $2 trillion economy^Object^core^ロシアの2兆ドル経済を|in from the cold^Idiom^modifier^寒い場所（孤立）から中へ|lowering sanctions^Participle Phrase^modifier^制裁を緩和しつつ|as part of a peace process^Prep Phrase^modifier^和平プロセスの一環として
11|00:01:25.974|This is highly unorthodox and highly controversial.|これは非常に型破りで、極めて物議を醸すものです。|This is^S+V^core^これは～です|highly unorthodox^Adjective^core^非常に型破りで|and^Conjunction^connector^そして|highly controversial^Adjective^core^極めて物議を醸す|||
12|00:01:30.700|That's our colleague Joe Parkinson, who reports with Drew.|それはドリューと共に取材している同僚のジョー・パーキンソンです。|That's our colleague Joe Parkinson^S+V+C^core^それは同僚のジョー・パーキンソンです|who reports with Drew^Rel Clause^connector^ドリューと共に報道している||||
