ID|タイムスタンプ|英文|日本語訳|チャンク1|チャンク2|チャンク3|チャンク4|チャンク5|チャンク6
1|5.714|A new Cold War has broken out between the U.S. and China over artificial intelligence.|米国と中国の間で、人工知能を巡る新たな冷戦が勃発しました。|A new Cold War^Subject^core^新たな冷戦が|has broken out^Verb^core^勃発した|between the U.S. and China^Prepositional Phrase^modifier^米国と中国の間で|over artificial intelligence.^Prepositional Phrase^modifier^人工知能を巡って||
2|13.163|The U.S. and China are locked in a competition, but there are some really striking similarities to the tech races between the U.S. and Soviet Union that we saw during the Cold War.|米国と中国は競争に突入していますが、冷戦時代に見られた米国とソビエト連邦との技術競争と驚くほど類似しています。|The U.S. and China^Subject^core^米国と中国は|are locked^Verb^core^閉じ込められている（突入している）|in a competition,^Prepositional Phrase^modifier^競争に|but^Conjunction^connector^しかし|there are^Verb^core^ある|some really striking similarities^Object^core^驚くべき類似点が
3|24.547|In the sense that you have two rival superpowers who are competing in technologies with really, really broad potential applications.|本当に幅広い潜在的用途を持つ技術において、2つの対立する超大国が競い合っているという意味においてです。|In the sense that^Conjunction Phrase^connector^～という意味において|you have^Subject + Verb^core^（そこには）～がいる|two rival superpowers^Object^core^2つの対立する超大国が|who are competing^Relative Clause^modifier^競い合っている|in technologies^Prepositional Phrase^modifier^技術において|with really broad potential applications.^Prepositional Phrase^modifier^本当に幅広い用途を持つ
4|36.198|During the Cold War, the Soviet Union and the U.S. were the two strongest countries in the world.|冷戦中、ソビエト連邦と米国は世界で最も強力な2つの国でした。|During the Cold War,^Prepositional Phrase^modifier^冷戦中|the Soviet Union and the U.S.^Subject^core^ソ連と米国は|were^Verb^core^～だった|the two strongest countries^Complement^core^最も強力な2国|in the world.^Prepositional Phrase^modifier^世界で|
5|41.295|And they were racing against each other to create transformational technologies, like nuclear weapons, rockets, satellites, and advanced computing.|そして彼らは、核兵器、ロケット、衛星、高度なコンピューティングなどの変革的な技術を生み出すために互いに競争していました。|And they^Subject^connector^そして彼らは|were racing^Verb^core^競争していた|against each other^Prepositional Phrase^modifier^互いに|to create^Infinitive^modifier^作り出すために|transformational technologies,^Object^core^変革的な技術を|like nuclear weapons...^Prepositional Phrase^modifier^核兵器などのような
6|50.124|Josh says that history is repeating itself with AI.|ジョシュは、AIにおいて歴史が繰り返されていると言います。|Josh says that^Subject + Verb^core^ジョシュは～と言う|history^Subject^core^歴史が|is repeating^Verb^core^繰り返している|itself^Object^core^それ自身を|with AI.^Prepositional Phrase^modifier^AIに関して|
7|53.826|You know, this is the first general use technology we've seen come along since the internet. And so it affects potentially everything.|ご存知の通り、これはインターネット以来私たちが目にする最初の汎用技術であり、それゆえに潜在的にあらゆるものに影響を与えます。|This^Subject^core^これは|is^Verb^core^～である|the first general use technology^Complement^core^最初の汎用技術|since the internet.^Prepositional Phrase^modifier^インターネット以来|And so^Conjunction^connector^それゆえ|it affects potentially everything.^Subject + Verb + Object^core^それは潜在的に全てに影響する
8|62.466|There are people in both Washington and Beijing who see this competition over AI having similar consequences.|ワシントンと北京の両方に、このAIを巡る競争が同様の結果をもたらすと見ている人々がいます。|There are people^Subject + Verb^core^人々がいる|in both Washington and Beijing^Prepositional Phrase^modifier^ワシントンと北京の両方に|who see^Relative Clause^modifier^～と見ている|this competition over AI^Object^core^このAI競争が|having similar consequences^Participle Phrase^modifier^同様の結果を持つと|
9|69.536|Whichever country manages to run away with a lead stands to reap just humongous advantages in economic and military and scientific power, as well as like global influence.|リードを奪い独走することに成功した国はどこであれ、経済、軍事、科学力、そして世界的影響力において巨大な利益を得ることになります。|Whichever country^Subject^core^どの国であれ|manages to run away^Verb^core^独走することに成功する|with a lead^Prepositional Phrase^modifier^リードを保って|stands to reap^Verb^core^得る立場にある|huge advantages^Object^core^巨大な利益を|in economic power...^Prepositional Phrase^modifier^経済力などにおいて
10|88.31|And like with the Cold War, the AI race also has the potential to accelerate a technology that many fear could have dire consequences.|そして冷戦と同様に、AI競争もまた、多くの人が悲惨な結果をもたらすのではないかと恐れる技術を加速させる可能性があります。|And like with the Cold War,^Prepositional Phrase^connector^冷戦と同様に|the AI race^Subject^core^AI競争も|also has^Verb^core^また持っている|the potential^Object^core^可能性を|to accelerate^Infinitive^modifier^加速させる|a technology...^Object^core^技術を
