ID|英文|日本語訳|チャンク1|チャンク2|チャンク3|チャンク4
1 | My children are so absorbed in their iPads. | 子供たちはiPadに夢中です。 | My children are^Subject+BeVerb^core^私の子供たちは～です | so absorbed^Adjective^core^とても夢中な | in their iPads.^Preposition^modifier^彼らのiPadに|
3 | Can you please prompt me when my time is up? | 時間が来たら声をかけてもらえますか？ | Can you please prompt me^Aux+S+V+O^core^私に声をかけてくれますか | when my time is up?^Conjunction+Clause^modifier^私の時間が来た時に||
4 | Your report could do with some refinement. | あなたの報告書は少し改善の余地があります。 | Your report^Subject^core^あなたの報告書は | could do with^Verb Phrase^core^～があればよい（必要だ） | some refinement.^Object^core^いくつかの改善|
5 | Is this course elective or compulsory? | このコースは選択制ですか、それとも必須ですか？ | Is this course^BeVerb+Subject^core^このコースは～ですか | elective or compulsory?^Adjective^core^選択か必須か||
6 | I have a lot of work commitments today. | 今日は仕事の約束がたくさんあります。 | I have^Subject+Verb^core^私は持っている | a lot of work commitments^Object^core^多くの仕事の約束を | today.^Adverb^modifier^今日|
7 | How did the client respond to the proposal? | クライアントはその提案にどう反応しましたか？ | How did the client respond^Interrogative+S+V^core^クライアントはどう反応しましたか | to the proposal?^Preposition^modifier^その提案に対して||
9 | I accidentally clicked on a sketchy link. | うっかり怪しいリンクをクリックしてしまいました。 | I accidentally clicked^S+Adv+V^core^私はうっかりクリックした | on a sketchy link.^Preposition^modifier^怪しいリンクを||
10 | Will this cactus grow in any kind of soil? | このサボテンはどんな土でも育ちますか？ | Will this cactus grow^Aux+S+V^core^このサボテンは育ちますか | in any kind of soil?^Preposition^modifier^どんな種類の土でも||
12 | Can I make a booking online with my credit card? | クレジットカードを使ってオンラインで予約できますか？ | Can I make a booking^Aux+S+V+O^core^私は予約できますか | online^Adverb^modifier^オンラインで | with my credit card?^Preposition^modifier^クレジットカードで|
13 | I'm in the process of buying a new house. | 私は新しい家を買う手続きの最中です。 | I'm in the process^S+BeVerb+Prep^core^私は～の最中です | of buying^Preposition^modifier^～を買うことの | a new house.^Object^core^新しい家を|
14 | I appreciate your constructive feedback. | あなたの建設的なフィードバックに感謝します。 | I appreciate^Subject+Verb^core^私は感謝する | your constructive feedback.^Object^core^あなたの建設的なフィードバックに||
15 | Did you start your own company? That's incredible. | 自分の会社を立ち上げたのですか？それはすごいですね。 | Did you start^Aux+S+V^core^あなたは始めたのですか | your own company?^Object^core^あなた自身の会社を | That's incredible.^S+V+C^core^それは信じられないほどすごい|
16 | Do you play any musical instruments? | 何か楽器を演奏しますか？ | Do you play^Aux+S+V^core^あなたは演奏しますか | any musical instruments?^Object^core^何か楽器を||
17 | Do you want something sweet or savory? | 甘いものか、塩気のあるもの（スナック系）か、どちらが欲しいですか？ | Do you want^Aux+S+V^core^あなたは欲しいですか | something sweet^Object^core^何か甘いものを | or savory?^Conjunction+Adj^core^それとも塩気のあるものを|
18 | He's the brains of this organization. | 彼がこの組織の頭脳（中心人物）です。 | He's the brains^S+BeVerb+C^core^彼は頭脳だ | of this organization.^Preposition^modifier^この組織の||
19 | We're going to launch a new service next month. | 私たちは来月、新しいサービスを立ち上げる予定です。 | We're going to launch^S+Aux+V^core^私たちは立ち上げるつもりだ | a new service^Object^core^新しいサービスを | next month.^Adverb^modifier^来月|
21 | Is euthanasia legal in Japan? | 日本では安楽死は合法ですか？ | Is euthanasia legal^BeVerb+S+Adj^core^安楽死は合法ですか | in Japan?^Preposition^modifier^日本で||
22 | I think you should change your wording a bit in the report. | レポートの言い回しを少し変えたほうがいいと思います。 | I think^Subject+Verb^core^私は思う | you should change^S+Aux+V^core^あなたが変えるべきだと | your wording a bit^Object^core^言い回しを少し | in the report.^Preposition^modifier^レポートの中で
